table_name,field,diary_table_order,task_table_order,header_text,var_type,meta_widget_name,col_width,include_bib_field,doc_table_order,meta_article_order,meta_book_order
Documents,doc_id,,,ID,int,,65,,0,,
Documents,title,,,Title,string,textEditExt_Title,500,1,3,1,
Documents,author_lasts,,,Authors,string,textEditExt_Authors,250,,1,2,
Documents,journal,,,Journal,string,lineEdit_Journal,300,1,-1,3,
Documents,year,,,Year,int,lineEdit_Year,75,1,2,4,
Documents,add_date,,,Added,int,,140,,5,,
Documents,pages,,,Pages,string,lineEdit_Pages,110,1,-1,5,
Documents,favorite,,,Fav,boolean,,75,,-1,,
Documents,read_date,,,Read,int,,140,,4,,
Documents,doc_type,,,Type,string,comboBox_DocType,150,,-1,,
Documents,abstract,,,Abstract,string,textEditExt_Abstract,400,0,-1,,
Documents,note,,,Note,string,textEditExt_Note,300,0,-1,,
Documents,arxiv_id,,,arXiv,string,lineEdit_arXiv,180,0,-1,31,
Documents,chapter,,,Ch.,string,lineEdit_Chapter,75,1,-1,,
Documents,citation_key,,,Citation Key,string,lineEdit_Cite_Key,200,,6,,
Documents,city,,,City,string,,75,0,-1,,
Documents,country,,,Country,string,,75,0,-1,,
Documents,department,,,Department,string,,200,0,-1,,
Documents,doi,,,DOI,string,lineEdit_doi,250,0,-1,30,
Documents,edition,,,Edition,string,lineEdit_Edition,75,1,-1,,
Documents,institution,,,Institution,string,lineEdit_Institution,150,0,-1,,
Documents,isbn,,,ISBN,string,lineEdit_isbn,200,0,-1,32,
Documents,issn,,,ISSN,string,lineEdit_issn,200,0,-1,33,
Documents,pmid,,,PMID,string,lineEdit_pmid,200,0,-1,34,
Documents,publisher,,,Publisher,string,lineEdit_Publisher,150,0,-1,,
Documents,series,,,Series,string,lineEdit_Series,100,0,-1,,
Documents,volume,,,Vol.,string,lineEdit_Volume,75,1,-1,,
Documents,modified_date,,,Modified,int,,150,,-1,,
Documents,url,,,URL,string,lineEdit_URL,200,,-1,,
Doc_Auth,contribution,,,,string,,,,,,
Doc_Paths,full_path,,,,string,,,,,,
Doc_Paths,doc_id,,,ID,int,,,,,,
Doc_Auth,doc_id,,,ID,int,,,,,,
Doc_Auth,last_name,,,,string,,,,,,
Doc_Proj,proj_id,,,,int,,,,,,
Doc_Proj,doc_id,,,ID,int,,,,,,
Documents,address,,,Address,string,lineEdit_Address,150,1,-1,,
Documents,booktitle,,,Book Title,string,lineEdit_BookTitle,350,1,-1,,
Documents,crossref,,,Crossref,string,lineEdit_Crossref,200,,-1,,
Documents,month,,,Month,string,lineEdit_Month,130,0,-1,,
Documents,number,,,No.,string,lineEdit_Number,75,1,-1,,
Documents,organization,,,Organization,string,lineEdit_Organization,200,0,-1,,
Documents,school,,,School,string,lineEdit_School,200,0,-1,,
Doc_Auth,first_name,,,,string,,,,,,
Doc_Auth,full_name,,,,string,,,,,,
Documents,keyword,,,Keywords,string,textEditExt_Keywords,200,,-1,,
Documents,editor,,,Editors,string,lineEdit_Editors,200,1,-1,,
Settings,var_name,,,,string,,,,,,
Settings,var_value,,,,string,,,,,,
Projects,proj_id,,,,int,,,,,,
Projects,proj_text,,,,string,,,,,,
Projects,description,,,,string,,,,,,
Projects,parent_id,,,,int,,,,,,
Projects,path,,,,string,,,,,,
Projects,expand_default,,,,int,,,,,,
Projects,bib_path,,,,string,,,,,,
Proj_Notes,doc_id,,,,int,,,,,,
Proj_Notes,proj_id,,,,int,,,,,,
Proj_Notes,proj_note,,,,string,,,,,,
Proj_Tasks,task_id,,0,ID,int, ,,,,,
Proj_Tasks,parent_id,,1,Parent ID,int, ,,,,,
Proj_Tasks,proj_id,,-1,Proj.,int, ,,,,,
Proj_Tasks,comp_date,,-1,Completion Date,string, ,,,,,
Proj_Tasks,comp_level,,-1,Completion Level,float, ,,,,,
Proj_Tasks,title,,3,Title,string, ,,,,,
Proj_Tasks,description,,-1,Description,string, ,,,,,
Proj_Tasks,due_date,,2,Due Date,string, ,,,,,
Proj_Tasks,tags,,-1,Tags,string, ,,,,,
Proj_Diary,entry_id,1,,ID,int, ,,,,,
Proj_Diary,proj_id,-1,,Proj.,int, ,,,,,
Proj_Diary,entry_date,2,,Date,string, ,,,,,
Proj_Diary,title,3,,Title,string, ,,,,,
Proj_Diary,description,-1,,Description,string, ,,,,,
Proj_Diary,tags,-1,,Tags,string, ,,,,,
